tanggal,user,txt,analysis
2020-12-14 16:05:23,CharlieCurrie,"ohnBerman 11 electoral votes to 7 for Biden, in some parts, would suggest a one in one quadrillion chance of Bide…",negatif
2020-12-14 16:05:23,freedarko,"Being anti-Trump was big, vague, direct, and visceral. It reinforced socio-cultural standing. With Biden, Dem-leani…",negatif
2020-12-14 16:05:23,RossFairchild,Anxiously awaiting Joe Biden’s concession speech.,negatif
2020-12-14 16:05:23,TheOpioidMedia,"ytimes I wish the NYT would stalk the FBI investigation of Hunter Biden the same way, but that's wishful thinking.",negatif
2020-12-14 16:05:22,quicares,urly_woowoowoo ubes123 ohnnyBlkshrt hewythewookie1 roncoStrada enness87 mom_sara igJim2705…,negatif
2020-12-14 16:05:22,JohnMcEwen21,"unlorrie ailOnline it's not fine Lorrie, there are some things that have happened of late, things that have com…",negatif
2020-12-14 16:05:22,jcaynon,"When a third of voters say Biden's win isn't legitimate, democracy is at risk - NBC News",positif
2020-12-14 16:05:21,WandaJai,Nobody cares... Biden owes Bernie nothing.,negatif
2020-12-14 16:05:21,lipapelua,Biden’s family in a deep 💩,negatif
2020-12-14 16:05:21,jadyn_greene98,I posted the video of me screaming “fuck Joe fucking Biden” on Snapchat and like 20 ppl unadded me. lmao you love to see it.,positif
2020-12-14 16:05:21,RJHuf,#Trump’s #GOP cultists in 2016: Voters don’t decide the winner! The #ElectoralCollege has the final say! Same…,negatif
2020-12-14 16:05:20,MJNikkanen,"isterLousy eckyessica ulsiGabbard Well, do you prefer Biden? IMHO she was a better candidate than almost ever…",positif
2020-12-14 16:05:19,NickDial8,rianstelter Stelter has told so many lies. He believes his own lies!! He shouldn’t have any credibility as a jour…,positif
2020-12-14 16:05:19,malta75616353,ngelWarrior321 annyHozack The fact checkers have not commented because they know Biden cheated,negatif
2020-12-14 16:05:19,BillRic09264448,hsisbsitstinks udyGiuliani Perhaps you and Hunter should share a jumbo crack rock,negatif
2020-12-14 16:05:19,khull71,delevan Short Round would stridently insist that she be referred to as Doctor Biden,negatif
2020-12-14 16:05:18,PlayingWithTape,"rBiden Mrs. Biden, it's incredibly racist to require people to use honorific titles. You have privelege and remin…",positif
2020-12-14 16:05:18,comboverwhelmed,ifeburn78 ichlandBandDad ubblebathgirl Biden has 306 electoral college votes. It's over for trump. All that's…,negatif
2020-12-14 16:05:18,lornaL_libra,Also weird how the media refuses to report on it. Instead they spread slam articles on Biden &amp; fam and fluff pieces…,negatif
2020-12-14 16:05:18,RayNunemacher,"heDemocrats Yes in 38 more days are taxes will go up along with gas prices and open borders. One more thing, China back in Biden pockets.",positif
2020-12-14 16:05:18,TomKattman,Biden disses Black Lives Matter and he'll fail Black voters. Here's how - by ⁦ izpeek⁩,negatif
2020-12-14 16:05:17,RCentrism101,opazismine ealDonaldTrump ariaBartiromo It looks great to other nations! That's why the world celebrated lik…,positif
2020-12-14 16:05:17,DHartung13,The Biden administration can end the Trump-era norm of elite impunity by opening the books on the Trump administrat…,negatif
2020-12-14 16:05:16,AltDivide,ianna1347 ollum1419_g rBiden Is Dr. Biden the first Dr. First Lady?,positif
2020-12-14 16:05:16,RoseMar95953838,Becknell ethMooreLPM President Trump has done a lot for Israel and Christians. Biden can’t be a faithful servan…,negatif
2020-12-14 16:05:16,Rob_Lilley_EDM,instonSmithUK3 amesDelingpole I bet you £500 Joe Biden will become president in January. Take it up?,negatif
2020-12-14 16:05:16,chaleeboh3131,"AG WILLIAM BARR evidently kept quiet about the Hunter BIDEN investigation, even when the Trump campaign was metapho…",positif
2020-12-14 16:05:16,HDFLHTK107,ealDonaldTrump NO THANKS TO YOU...BIDEN GOT ELECTED AND VACCINE BECAME READY.,positif
2020-12-14 16:05:16,jhartley61,"Hunter Biden email shows $400G unreported income from Burisma, states he needs to 'amend' tax returns",negatif
2020-12-14 16:05:16,PJJuarez,TF202051636444 ealDonaldTrump Lol. Over Half the military voted for Biden.,positif
2020-12-14 16:05:16,TheTakeaway,Everything you need to know about the Electoral College:,negatif
2020-12-14 16:05:16,Lee032772,Calling Jill Biden “Dr Biden” is almost as ridiculous as calling Hillary Clinton “Madam president.”,negatif
2020-12-14 16:05:16,HannahO96510671,ictherose CCO And let the big box companies stay open? What are you - fo the rich getting richer? Where is you…,positif
2020-12-14 16:05:16,MarkAnd90186580,arleDSpencer1 What do you do though with the criminally corrupt Biden Family? There's now 4 federal investigation…,negatif
2020-12-14 16:05:15,Juzira,rSirUgly Hey cottMorrisonMP How is the apology you asked for going ? Have you spoken to Liu yet ? Maybe she can…,negatif
2020-12-14 16:05:15,quietmermaid,I know the internet is an awful place but as someone who *just* qt'd this I decided to look at the others &amp; I'm abo…,negatif
2020-12-14 16:05:15,nayroftownsvill,"Once they see the money dry up, news orgs are gonna pivot to shitting on biden so hard",negatif
2020-12-14 16:05:15,Lckalloc2005,enSchumer Hey Chuck. It’s December 14th. Why haven’t the Biden’s been arrested yet?,negatif
2020-12-14 16:05:14,MarineTech90,ealDonaldTrump Oh wow there is your landslide Diaper. You got Biden on the mat 22 to 7...,positif
2020-12-14 16:05:14,HBloggins,The Bidens are swamp rats . Hunter Biden made $6m in nine months from Chinese business dealings via ailOnline,negatif
2020-12-14 16:05:14,AliceClimbers,All I'm getting from this poorly cropped imagine is Melania is bad ass and Jill Biden is a nerd?,negatif
2020-12-14 16:05:14,playful8,How conservatives think Biden could 'lessen evangelicals' opposition to him' via ahoo,negatif
2020-12-14 16:05:14,JacketNation89,Is Joe Biden still addressing the nation? I feel like he might want to call a Lid.,negatif
2020-12-14 16:05:13,us_cfdot_com,Vermont kicks off voting as first ballots cast in Monday's Electoral College meetings – liv…,positif
2020-12-14 16:05:13,LarryDa81483791,"ikOfThisBS ealDonaldTrump And the pandemic will end in Biden’s administration, the real historic day",negatif
2020-12-14 16:05:13,maga1960connie,Himages ethMooreLPM Biden fits the bill to a tee... If you are in the dark about him you need to check out true…,negatif
2020-12-14 16:05:12,yocyberpandemic,This story makes maga mad. But the fact is that he followed the rules and did what he was supposed to do. He didn't…,negatif
2020-12-14 16:05:12,LedgerOpinion,History may well record that it was the resilience of our institutions that held back the Trumpist threats to the p…,negatif
2020-12-14 16:05:12,La83111,"imeless_Dally ethMooreLPM oleClaybourn I live in a very red state. I have to be very quiet, I only know a few…",positif
2020-12-14 16:05:11,Lily_Warrior,"52Malmet My daughter and I didn't get graduation ceremonies at all, we cancelled our graduation trip (but SWA sti…",negatif
2020-12-14 16:05:11,TroyRubert,Gave the American people less money because Biden “won” lmao get ready for a fun 4 years. via ouTube,positif
2020-12-14 16:05:11,MarlaWeezie,"ealDonaldTrump ariaBartiromo Trump re-tweeted this dangerous propaganda a few times, and could it have somethin…",negatif
2020-12-14 16:05:10,jenniferinokc,ethMooreLPM You believe in murder if babies too I bet. Taking them from the womb right up to birth. That’s what B…,positif
2020-12-14 16:05:10,ShootYourself,ngrahamAngle rankLuntz its propaganda. They want the low info people to think that theyre better off with Biden regardless...,positif
2020-12-14 16:05:09,uticaOD,Vermont kicks off voting as first ballots cast in Monday's Electoral College meetings – live updates,positif
2020-12-14 16:05:09,TickTock2Q2Q,ig_Sine_312 FBI Is Deep State And If Biden Gets Elected They Will Illegally Send Us To FEMA Concentration Camps.,negatif
2020-12-14 16:05:09,AlienOfTheNorth,Lol Trumpers probably all excited to see the IN PROCESS electoral college votes as 11-7 Trump right now and then go…,positif
2020-12-14 16:05:09,Loaner777,126 GOP House Members Refuse To Accept Biden Won,negatif
2020-12-14 16:05:08,nyy_lol,arceelias Next thing you know that idiot is going to say the electoral college is illegally voting for Biden too…,negatif
2020-12-14 16:05:08,freespeak3,Columnist tears into GOP for accusing Hunter Biden of what Ivanka Trump has done in the open -,negatif
2020-12-14 16:05:07,Christo09881455,oyceMcInnis anPost4 hunderballsOO ealDonaldTrump The cheating BEGAN with him? So your admitting there was w…,negatif
2020-12-14 16:05:07,HappyBl26978244,"NN 's constant coverage of the electoral college is giving me anxiety, even though I know Biden won. Anyone else feel like this?",negatif
2020-12-14 16:05:06,TisharraRahl,OP ealDonaldTrump #TrumpVirus will be gone after President Biden deploys his vaccine. Trump and his kids will g…,negatif
2020-12-14 16:05:06,JAShopper,"hrisgeidner Dear J and Jopinion, It’s time to get rid of any editor who believes two Biden staff members an…",negatif
2020-12-14 16:05:06,pedroborbon3,"BNetwork Yes, the electors are voting for Joe Biden per the election and per the constitution.",negatif
2020-12-14 16:05:05,theuresamaven,"heuresamaven 4/4 to an hour to watch the electors do their thing. Hawaii will be last, after which President E…",negatif
2020-12-14 16:05:05,abklmt,Thank you Dr. Biden!,negatif
2020-12-14 16:05:05,FelinaBlanc,"avidEggert00 Well the duly elected electors will be meeting and voting for Joe Biden, so these traitorous treache…",negatif
2020-12-14 16:05:05,JohnSlusarick,"Hunter Biden email shows $400G unreported income from Burisma, states he needs to 'amend' tax returns #FoxNews",negatif
2020-12-14 16:05:05,theuresamaven,"heuresamaven 3/4 3-0, certifying Joe Biden be processed. Turned to span , where the secretary of the State of…",negatif
2020-12-14 16:05:04,everylastmeme,uckSexton Jill Biden is a fake Doctor.,negatif
2020-12-14 16:05:04,BrookeSingman,"Hunter Biden email shows $400G unreported income from Ukrainian natural gas firm #Burisma Holdings, states he needs…",negatif
2020-12-14 16:05:04,news_ntd,"“Monday is a special day but guess what, if heaven forbid, these falsely certified elections force the college to s…",negatif
2020-12-14 16:05:04,Chiphead_Nate,"Okay, Biden is not ""elect""",positif
2020-12-14 16:05:03,sphillips2000,Trump's constant belligerent abuse of Democrats was a vote turnout machine. Republicans known high turnout favors D…,positif
2020-12-14 16:05:03,CyberPlayGround,ianeRavitch Northwestern University Removes Joseph Epstein After WSJ Op-Ed on Dr Jill Biden,negatif
2020-12-14 16:05:03,CitizenWonk,Columnist tears into GOP for accusing Hunter Biden of what Ivanka Trump has done in the open,negatif
2020-12-14 16:05:03,paulwheeler44,rianKempGA Look at the report out of Michigan today about the computer system used oh it’s the same as in Georgia…,negatif
2020-12-14 16:05:03,AngleAmerican,oeBiden You're right about the teeth of crisis and those teeth are fixing to gnash your ass! Biden going down☄,positif
2020-12-14 16:05:03,jigfisher10,lmcull enOldMen ealDonaldTrump You live in a world of lies. Remember Dems were partying in the streets when T…,positif
2020-12-14 16:05:03,Chris_1791,"Hunter Biden email shows $400G unreported income from Burisma, states he needs to 'amend' tax returns via oxnews",negatif
2020-12-14 16:05:02,mohzabidi,"ypost With Joe Biden as president, Justice would finally return so please give another chance to all lottery…",negatif
2020-12-14 16:05:02,BarbaraJIreland,rogBoiling innyboyXI enatemajldr indseyGrahamSC enateGOP OPLeader evinomccarthy Are you kidding me? W…,negatif
